,fertilizer,n,p,k
297,Ammonium sulphate,2037.0,97,97
298,Ammonium sulphate,2058.0,98,98
299,Ammonium sulphate,2079.0,99,99
300,Ammonium sulphate,2100.0,100,100
301,Ammonium sulphate,2121.0,101,101
302,Ammonium sulphate,2142.0,102,102
303,Ammonium sulphate,2163.0,103,103
304,Ammonium sulphate,2184.0,104,104
305,Ammonium sulphate,2205.0,105,105
306,Ammonium sulphate,2226.0,106,106
307,Ammonium sulphate,2247.0,107,107
308,Ammonium sulphate,2268.0,108,108
309,Ammonium sulphate,2289.0,109,109
310,Ammonium sulphate,2310.0,110,110
311,Ammonium sulphate,2331.0,111,111
312,Ammonium sulphate,2352.0,112,112
313,Ammonium sulphate,2373.0,113,113
314,Ammonium sulphate,2394.0,114,114
315,Ammonium sulphate,2415.0,115,115
316,Ammonium sulphate,2436.0,116,116
317,Ammonium sulphate,2457.0,117,117
318,Ammonium sulphate,2478.0,118,118
319,Ammonium sulphate,2499.0,119,119
320,Ammonium sulphate,2520.0,120,120
321,Ammonium sulphate,2541.0,121,121
322,Ammonium sulphate,2562.0,122,122
323,Ammonium sulphate,2583.0,123,123
324,Ammonium sulphate,2604.0,124,124
325,Ammonium sulphate,2625.0,125,125
326,Ammonium sulphate,2646.0,126,126
327,Ammonium sulphate,2667.0,127,127
328,Ammonium sulphate,2688.0,128,128
329,Ammonium sulphate,2709.0,129,129
330,Ammonium sulphate,2730.0,130,130
331,Ammonium sulphate,2751.0,131,131
332,Ammonium sulphate,2772.0,132,132
333,Ammonium sulphate,2793.0,133,133
334,Ammonium sulphate,2814.0,134,134
335,Ammonium sulphate,2835.0,135,135
336,Ammonium sulphate,2856.0,136,136
337,Ammonium sulphate,2877.0,137,137
338,Ammonium sulphate,2898.0,138,138
339,Ammonium sulphate,2919.0,139,139
340,Ammonium sulphate,2940.0,140,140
341,Ammonium sulphate,2961.0,141,141
342,Ammonium sulphate,2982.0,142,142
343,Ammonium sulphate,3003.0,143,143
344,Ammonium sulphate,3024.0,144,144
345,Ammonium sulphate,3045.0,145,145
346,Ammonium sulphate,3066.0,146,146
347,Ammonium sulphate,3087.0,147,147
348,Ammonium sulphate,3108.0,148,148
349,Ammonium sulphate,3129.0,149,149
350,Ammonium sulphate,3150.0,150,150
351,Ammonium sulphate,3171.0,151,151
352,Ammonium sulphate,3192.0,152,152
353,Ammonium sulphate,3213.0,153,153
354,Ammonium sulphate,3234.0,154,154
355,Ammonium sulphate,3255.0,155,155
356,Ammonium sulphate,3276.0,156,156
357,Ammonium sulphate,3297.0,157,157
358,Ammonium sulphate,3318.0,158,158
359,Ammonium sulphate,3339.0,159,159
360,Ammonium sulphate,3360.0,160,160
361,Ammonium sulphate,3381.0,161,161
362,Ammonium sulphate,3402.0,162,162
363,Ammonium sulphate,3423.0,163,163
364,Ammonium sulphate,3444.0,164,164
365,Ammonium sulphate,3465.0,165,165
366,Ammonium sulphate,3486.0,166,166
367,Ammonium sulphate,3507.0,167,167
368,Ammonium sulphate,3528.0,168,168
369,Ammonium sulphate,3549.0,169,169
370,Ammonium sulphate,3570.0,170,170
371,Ammonium sulphate,3591.0,171,171
372,Ammonium sulphate,3612.0,172,172
373,Ammonium sulphate,3633.0,173,173
374,Ammonium sulphate,3654.0,174,174
375,Ammonium sulphate,3675.0,175,175
376,Ammonium sulphate,3696.0,176,176
377,Ammonium sulphate,3717.0,177,177
378,Ammonium sulphate,3738.0,178,178
379,Ammonium sulphate,3759.0,179,179
380,Ammonium sulphate,3780.0,180,180
381,Ammonium sulphate,3801.0,181,181
382,Ammonium sulphate,3822.0,182,182
383,Ammonium sulphate,3843.0,183,183
384,Ammonium sulphate,3864.0,184,184
385,Ammonium sulphate,3885.0,185,185
386,Ammonium sulphate,3906.0,186,186
387,Ammonium sulphate,3927.0,187,187
388,Ammonium sulphate,3948.0,188,188
389,Ammonium sulphate,3969.0,189,189
390,Ammonium sulphate,3990.0,190,190
391,Ammonium sulphate,4011.0,191,191
392,Ammonium sulphate,4032.0,192,192
393,Ammonium sulphate,4053.0,193,193
394,Ammonium sulphate,4074.0,194,194
395,Ammonium sulphate,4095.0,195,195
396,Ammonium sulphate,4116.0,196,196
397,Ammonium sulphate,4137.0,197,197
398,Ammonium sulphate,4158.0,198,198
399,Ammonium sulphate,4179.0,199,199
400,Ammonium nitrate,0.0,0,0
401,Ammonium nitrate,33.5,1,1
402,Ammonium nitrate,67.0,2,2
403,Ammonium nitrate,100.5,3,3
404,Ammonium nitrate,134.0,4,4
405,Ammonium nitrate,167.5,5,5
406,Ammonium nitrate,201.0,6,6
407,Ammonium nitrate,234.5,7,7
408,Ammonium nitrate,268.0,8,8
409,Ammonium nitrate,301.5,9,9
410,Ammonium nitrate,335.0,10,10
411,Ammonium nitrate,368.5,11,11
412,Ammonium nitrate,402.0,12,12
413,Ammonium nitrate,435.5,13,13
414,Ammonium nitrate,469.0,14,14
415,Ammonium nitrate,502.5,15,15
416,Ammonium nitrate,536.0,16,16
417,Ammonium nitrate,569.5,17,17
418,Ammonium nitrate,603.0,18,18
419,Ammonium nitrate,636.5,19,19
420,Ammonium nitrate,670.0,20,20
421,Ammonium nitrate,703.5,21,21
422,Ammonium nitrate,737.0,22,22
423,Ammonium nitrate,770.5,23,23
424,Ammonium nitrate,804.0,24,24
425,Ammonium nitrate,837.5,25,25
426,Ammonium nitrate,871.0,26,26
427,Ammonium nitrate,904.5,27,27
428,Ammonium nitrate,938.0,28,28
429,Ammonium nitrate,971.5,29,29
430,Ammonium nitrate,1005.0,30,30
431,Ammonium nitrate,1038.5,31,31
432,Ammonium nitrate,1072.0,32,32
433,Ammonium nitrate,1105.5,33,33
434,Ammonium nitrate,1139.0,34,34
435,Ammonium nitrate,1172.5,35,35
436,Ammonium nitrate,1206.0,36,36
437,Ammonium nitrate,1239.5,37,37
438,Ammonium nitrate,1273.0,38,38
439,Ammonium nitrate,1306.5,39,39
440,Ammonium nitrate,1340.0,40,40
441,Ammonium nitrate,1373.5,41,41
442,Ammonium nitrate,1407.0,42,42
443,Ammonium nitrate,1440.5,43,43
444,Ammonium nitrate,1474.0,44,44
445,Ammonium nitrate,1507.5,45,45
446,Ammonium nitrate,1541.0,46,46
447,Ammonium nitrate,1574.5,47,47
448,Ammonium nitrate,1608.0,48,48
449,Ammonium nitrate,1641.5,49,49
450,Ammonium nitrate,1675.0,50,50
451,Ammonium nitrate,1708.5,51,51
452,Ammonium nitrate,1742.0,52,52
453,Ammonium nitrate,1775.5,53,53
454,Ammonium nitrate,1809.0,54,54
455,Ammonium nitrate,1842.5,55,55
456,Ammonium nitrate,1876.0,56,56
457,Ammonium nitrate,1909.5,57,57
458,Ammonium nitrate,1943.0,58,58
459,Ammonium nitrate,1976.5,59,59
460,Ammonium nitrate,2010.0,60,60
461,Ammonium nitrate,2043.5,61,61
462,Ammonium nitrate,2077.0,62,62
463,Ammonium nitrate,2110.5,63,63
464,Ammonium nitrate,2144.0,64,64
465,Ammonium nitrate,2177.5,65,65
466,Ammonium nitrate,2211.0,66,66
467,Ammonium nitrate,2244.5,67,67
468,Ammonium nitrate,2278.0,68,68
469,Ammonium nitrate,2311.5,69,69
470,Ammonium nitrate,2345.0,70,70
471,Ammonium nitrate,2378.5,71,71
472,Ammonium nitrate,2412.0,72,72
473,Ammonium nitrate,2445.5,73,73
474,Ammonium nitrate,2479.0,74,74
475,Ammonium nitrate,2512.5,75,75
476,Ammonium nitrate,2546.0,76,76
477,Ammonium nitrate,2579.5,77,77
478,Ammonium nitrate,2613.0,78,78
479,Ammonium nitrate,2646.5,79,79
480,Ammonium nitrate,2680.0,80,80
481,Ammonium nitrate,2713.5,81,81
482,Ammonium nitrate,2747.0,82,82
483,Ammonium nitrate,2780.5,83,83
484,Ammonium nitrate,2814.0,84,84
485,Ammonium nitrate,2847.5,85,85
486,Ammonium nitrate,2881.0,86,86
487,Ammonium nitrate,2914.5,87,87
488,Ammonium nitrate,2948.0,88,88
489,Ammonium nitrate,2981.5,89,89
490,Ammonium nitrate,3015.0,90,90
491,Ammonium nitrate,3048.5,91,91
492,Ammonium nitrate,3082.0,92,92
493,Ammonium nitrate,3115.5,93,93
494,Ammonium nitrate,3149.0,94,94
495,Ammonium nitrate,3182.5,95,95
496,Ammonium nitrate,3216.0,96,96
497,Ammonium nitrate,3249.5,97,97
498,Ammonium nitrate,3283.0,98,98
499,Ammonium nitrate,3316.5,99,99
500,Ammonium nitrate,3350.0,100,100
501,Ammonium nitrate,3383.5,101,101
502,Ammonium nitrate,3417.0,102,102
503,Ammonium nitrate,3450.5,103,103
504,Ammonium nitrate,3484.0,104,104
505,Ammonium nitrate,3517.5,105,105
506,Ammonium nitrate,3551.0,106,106
507,Ammonium nitrate,3584.5,107,107
508,Ammonium nitrate,3618.0,108,108
509,Ammonium nitrate,3651.5,109,109
510,Ammonium nitrate,3685.0,110,110
511,Ammonium nitrate,3718.5,111,111
512,Ammonium nitrate,3752.0,112,112
513,Ammonium nitrate,3785.5,113,113
514,Ammonium nitrate,3819.0,114,114
515,Ammonium nitrate,3852.5,115,115
516,Ammonium nitrate,3886.0,116,116
517,Ammonium nitrate,3919.5,117,117
518,Ammonium nitrate,3953.0,118,118
519,Ammonium nitrate,3986.5,119,119
520,Ammonium nitrate,4020.0,120,120
521,Ammonium nitrate,4053.5,121,121
522,Ammonium nitrate,4087.0,122,122
523,Ammonium nitrate,4120.5,123,123
524,Ammonium nitrate,4154.0,124,124
525,Ammonium nitrate,4187.5,125,125
526,Ammonium nitrate,4221.0,126,126
527,Ammonium nitrate,4254.5,127,127
528,Ammonium nitrate,4288.0,128,128
529,Ammonium nitrate,4321.5,129,129
530,Ammonium nitrate,4355.0,130,130
531,Ammonium nitrate,4388.5,131,131
532,Ammonium nitrate,4422.0,132,132
533,Ammonium nitrate,4455.5,133,133
534,Ammonium nitrate,4489.0,134,134
535,Ammonium nitrate,4522.5,135,135
536,Ammonium nitrate,4556.0,136,136
537,Ammonium nitrate,4589.5,137,137
538,Ammonium nitrate,4623.0,138,138
539,Ammonium nitrate,4656.5,139,139
540,Ammonium nitrate,4690.0,140,140
541,Ammonium nitrate,4723.5,141,141
542,Ammonium nitrate,4757.0,142,142
543,Ammonium nitrate,4790.5,143,143
544,Ammonium nitrate,4824.0,144,144
545,Ammonium nitrate,4857.5,145,145
546,Ammonium nitrate,4891.0,146,146
547,Ammonium nitrate,4924.5,147,147
548,Ammonium nitrate,4958.0,148,148
549,Ammonium nitrate,4991.5,149,149
550,Ammonium nitrate,5025.0,150,150
551,Ammonium nitrate,5058.5,151,151
552,Ammonium nitrate,5092.0,152,152
553,Ammonium nitrate,5125.5,153,153
554,Ammonium nitrate,5159.0,154,154
555,Ammonium nitrate,5192.5,155,155
556,Ammonium nitrate,5226.0,156,156
557,Ammonium nitrate,5259.5,157,157
558,Ammonium nitrate,5293.0,158,158
559,Ammonium nitrate,5326.5,159,159
560,Ammonium nitrate,5360.0,160,160
561,Ammonium nitrate,5393.5,161,161
562,Ammonium nitrate,5427.0,162,162
563,Ammonium nitrate,5460.5,163,163
564,Ammonium nitrate,5494.0,164,164
565,Ammonium nitrate,5527.5,165,165
566,Ammonium nitrate,5561.0,166,166
567,Ammonium nitrate,5594.5,167,167
568,Ammonium nitrate,5628.0,168,168
569,Ammonium nitrate,5661.5,169,169
570,Ammonium nitrate,5695.0,170,170
571,Ammonium nitrate,5728.5,171,171
572,Ammonium nitrate,5762.0,172,172
573,Ammonium nitrate,5795.5,173,173
574,Ammonium nitrate,5829.0,174,174
575,Ammonium nitrate,5862.5,175,175
576,Ammonium nitrate,5896.0,176,176
577,Ammonium nitrate,5929.5,177,177
578,Ammonium nitrate,5963.0,178,178
579,Ammonium nitrate,5996.5,179,179
580,Ammonium nitrate,6030.0,180,180
581,Ammonium nitrate,6063.5,181,181
582,Ammonium nitrate,6097.0,182,182
583,Ammonium nitrate,6130.5,183,183
584,Ammonium nitrate,6164.0,184,184
585,Ammonium nitrate,6197.5,185,185
586,Ammonium nitrate,6231.0,186,186
587,Ammonium nitrate,6264.5,187,187
588,Ammonium nitrate,6298.0,188,188
589,Ammonium nitrate,6331.5,189,189
590,Ammonium nitrate,6365.0,190,190
591,Ammonium nitrate,6398.5,191,191
592,Ammonium nitrate,6432.0,192,192
593,Ammonium nitrate,6465.5,193,193
594,Ammonium nitrate,6499.0,194,194
595,Ammonium nitrate,6532.5,195,195
596,Ammonium nitrate,6566.0,196,196
597,Ammonium nitrate,6599.5,197,197
598,Ammonium nitrate,6633.0,198,198
599,Ammonium nitrate,6666.5,199,199
600,Calcium ammonium nitrate and other mixtures with CaCO3,0.0,0,0
601,Calcium ammonium nitrate and other mixtures with CaCO3,25.0,1,1
602,Calcium ammonium nitrate and other mixtures with CaCO3,50.0,2,2
603,Calcium ammonium nitrate and other mixtures with CaCO3,75.0,3,3
604,Calcium ammonium nitrate and other mixtures with CaCO3,100.0,4,4
605,Calcium ammonium nitrate and other mixtures with CaCO3,125.0,5,5
606,Calcium ammonium nitrate and other mixtures with CaCO3,150.0,6,6
607,Calcium ammonium nitrate and other mixtures with CaCO3,175.0,7,7
608,Calcium ammonium nitrate and other mixtures with CaCO3,200.0,8,8
609,Calcium ammonium nitrate and other mixtures with CaCO3,225.0,9,9
610,Calcium ammonium nitrate and other mixtures with CaCO3,250.0,10,10
611,Calcium ammonium nitrate and other mixtures with CaCO3,275.0,11,11
612,Calcium ammonium nitrate and other mixtures with CaCO3,300.0,12,12
613,Calcium ammonium nitrate and other mixtures with CaCO3,325.0,13,13
614,Calcium ammonium nitrate and other mixtures with CaCO3,350.0,14,14
615,Calcium ammonium nitrate and other mixtures with CaCO3,375.0,15,15
616,Calcium ammonium nitrate and other mixtures with CaCO3,400.0,16,16
617,Calcium ammonium nitrate and other mixtures with CaCO3,425.0,17,17
618,Calcium ammonium nitrate and other mixtures with CaCO3,450.0,18,18
619,Calcium ammonium nitrate and other mixtures with CaCO3,475.0,19,19
620,Calcium ammonium nitrate and other mixtures with CaCO3,500.0,20,20
621,Calcium ammonium nitrate and other mixtures with CaCO3,525.0,21,21
622,Calcium ammonium nitrate and other mixtures with CaCO3,550.0,22,22
623,Calcium ammonium nitrate and other mixtures with CaCO3,575.0,23,23
624,Calcium ammonium nitrate and other mixtures with CaCO3,600.0,24,24
625,Calcium ammonium nitrate and other mixtures with CaCO3,625.0,25,25
626,Calcium ammonium nitrate and other mixtures with CaCO3,650.0,26,26
627,Calcium ammonium nitrate and other mixtures with CaCO3,675.0,27,27
628,Calcium ammonium nitrate and other mixtures with CaCO3,700.0,28,28
629,Calcium ammonium nitrate and other mixtures with CaCO3,725.0,29,29
630,Calcium ammonium nitrate and other mixtures with CaCO3,750.0,30,30
631,Calcium ammonium nitrate and other mixtures with CaCO3,775.0,31,31
632,Calcium ammonium nitrate and other mixtures with CaCO3,800.0,32,32
633,Calcium ammonium nitrate and other mixtures with CaCO3,825.0,33,33
634,Calcium ammonium nitrate and other mixtures with CaCO3,850.0,34,34
635,Calcium ammonium nitrate and other mixtures with CaCO3,875.0,35,35
636,Calcium ammonium nitrate and other mixtures with CaCO3,900.0,36,36
637,Calcium ammonium nitrate and other mixtures with CaCO3,925.0,37,37
638,Calcium ammonium nitrate and other mixtures with CaCO3,950.0,38,38
639,Calcium ammonium nitrate and other mixtures with CaCO3,975.0,39,39
640,Calcium ammonium nitrate and other mixtures with CaCO3,1000.0,40,40
641,Calcium ammonium nitrate and other mixtures with CaCO3,1025.0,41,41
642,Calcium ammonium nitrate and other mixtures with CaCO3,1050.0,42,42
643,Calcium ammonium nitrate and other mixtures with CaCO3,1075.0,43,43
644,Calcium ammonium nitrate and other mixtures with CaCO3,1100.0,44,44
645,Calcium ammonium nitrate and other mixtures with CaCO3,1125.0,45,45
646,Calcium ammonium nitrate and other mixtures with CaCO3,1150.0,46,46
647,Calcium ammonium nitrate and other mixtures with CaCO3,1175.0,47,47
648,Calcium ammonium nitrate and other mixtures with CaCO3,1200.0,48,48
649,Calcium ammonium nitrate and other mixtures with CaCO3,1225.0,49,49
650,Calcium ammonium nitrate and other mixtures with CaCO3,1250.0,50,50
651,Calcium ammonium nitrate and other mixtures with CaCO3,1275.0,51,51
652,Calcium ammonium nitrate and other mixtures with CaCO3,1300.0,52,52
653,Calcium ammonium nitrate and other mixtures with CaCO3,1325.0,53,53
654,Calcium ammonium nitrate and other mixtures with CaCO3,1350.0,54,54
655,Calcium ammonium nitrate and other mixtures with CaCO3,1375.0,55,55
656,Calcium ammonium nitrate and other mixtures with CaCO3,1400.0,56,56
657,Calcium ammonium nitrate and other mixtures with CaCO3,1425.0,57,57
658,Calcium ammonium nitrate and other mixtures with CaCO3,1450.0,58,58
659,Calcium ammonium nitrate and other mixtures with CaCO3,1475.0,59,59
660,Calcium ammonium nitrate and other mixtures with CaCO3,1500.0,60,60
661,Calcium ammonium nitrate and other mixtures with CaCO3,1525.0,61,61
662,Calcium ammonium nitrate and other mixtures with CaCO3,1550.0,62,62
663,Calcium ammonium nitrate and other mixtures with CaCO3,1575.0,63,63
664,Calcium ammonium nitrate and other mixtures with CaCO3,1600.0,64,64
665,Calcium ammonium nitrate and other mixtures with CaCO3,1625.0,65,65
666,Calcium ammonium nitrate and other mixtures with CaCO3,1650.0,66,66
667,Calcium ammonium nitrate and other mixtures with CaCO3,1675.0,67,67
668,Calcium ammonium nitrate and other mixtures with CaCO3,1700.0,68,68
669,Calcium ammonium nitrate and other mixtures with CaCO3,1725.0,69,69
670,Calcium ammonium nitrate and other mixtures with CaCO3,1750.0,70,70
671,Calcium ammonium nitrate and other mixtures with CaCO3,1775.0,71,71
672,Calcium ammonium nitrate and other mixtures with CaCO3,1800.0,72,72
673,Calcium ammonium nitrate and other mixtures with CaCO3,1825.0,73,73
674,Calcium ammonium nitrate and other mixtures with CaCO3,1850.0,74,74
