crop,n,p,k,humidity,temperature,ph
rice,2.0,1.0,1.0,High,23.49398,74.65863
rice,2.0,1.0,1.0,High,23.55422,74.73896
rice,2.0,1.0,1.0,High,23.61446,74.81928
rice,2.0,1.0,1.0,High,23.6747,74.8996
rice,2.0,1.0,1.0,High,23.73494,74.97992
rice,2.0,1.0,1.0,High,23.79518,75.06024
rice,2.0,1.0,1.0,High,23.85542,75.14056
rice,2.0,1.0,1.0,High,23.91566,75.22088
rice,2.0,1.0,1.0,High,23.9759,75.3012
rice,2.0,1.0,1.0,High,24.03614,75.38153
rice,2.0,1.0,1.0,High,24.09639,75.46185
rice,2.0,1.0,1.0,High,24.15663,75.54217
rice,2.0,1.0,1.0,High,24.21687,75.62249
rice,2.0,1.0,1.0,High,24.27711,75.70281
rice,2.0,1.0,1.0,High,24.33735,75.78313
rice,2.0,1.0,1.0,High,24.39759,75.86345
rice,2.0,1.0,1.0,High,24.45783,75.94378
rice,2.0,1.0,1.0,High,24.51807,76.0241
rice,2.0,1.0,1.0,High,24.57831,76.10442
rice,2.0,1.0,1.0,High,24.63855,76.18474
rice,2.0,1.0,1.0,High,24.6988,76.26506
rice,2.0,1.0,1.0,High,24.75904,76.34538
rice,2.0,1.0,1.0,High,24.81928,76.4257
rice,2.0,1.0,1.0,High,24.87952,76.50602
rice,2.0,1.0,1.0,High,24.93976,76.58635
rice,2.0,1.0,1.0,High,25.0,76.66667
rice,2.0,1.0,1.0,High,25.06024,76.74699
rice,2.0,1.0,1.0,High,25.12048,76.82731
rice,2.0,1.0,1.0,High,25.18072,76.90763
rice,2.0,1.0,1.0,High,25.24096,76.98795
rice,2.0,1.0,1.0,High,25.3012,77.06827
rice,2.0,1.0,1.0,High,25.36145,77.14859
rice,2.0,1.0,1.0,High,25.42169,77.22892
rice,2.0,1.0,1.0,High,25.48193,77.30924
rice,2.0,1.0,1.0,High,25.54217,77.38956
rice,2.0,1.0,1.0,High,25.60241,77.46988
rice,2.0,1.0,1.0,High,25.66265,77.5502
rice,2.0,1.0,1.0,High,25.72289,77.63052
rice,2.0,1.0,1.0,High,25.78313,77.71084
rice,2.0,1.0,1.0,High,25.84337,77.79116
rice,2.0,1.0,1.0,High,25.90361,77.87149
rice,2.0,1.0,1.0,High,25.96386,77.95181
rice,2.0,1.0,1.0,High,26.0241,78.03213
rice,2.0,1.0,1.0,High,26.08434,78.11245
rice,2.0,1.0,1.0,High,26.14458,78.19277
rice,2.0,1.0,1.0,High,26.20482,78.27309
rice,2.0,1.0,1.0,High,26.26506,78.35341
rice,2.0,1.0,1.0,High,26.3253,78.43373
rice,2.0,1.0,1.0,High,26.38554,78.51406
rice,2.0,1.0,1.0,High,26.44578,78.59438
rice,2.0,1.0,1.0,High,26.50602,78.6747
rice,2.0,1.0,1.0,High,26.56627,78.75502
rice,2.0,1.0,1.0,High,26.62651,78.83534
rice,2.0,1.0,1.0,High,26.68675,78.91566
rice,2.0,1.0,1.0,High,26.74699,78.99598
rice,2.0,1.0,1.0,High,26.80723,79.07631
rice,2.0,1.0,1.0,High,26.86747,79.15663
rice,2.0,1.0,1.0,High,26.92771,79.23695
rice,2.0,1.0,1.0,High,26.98795,79.31727
rice,2.0,1.0,1.0,High,27.04819,79.39759
rice,2.0,1.0,1.0,High,27.10843,79.47791
rice,2.0,1.0,1.0,High,27.16867,79.55823
rice,2.0,1.0,1.0,High,27.22892,79.63855
rice,2.0,1.0,1.0,High,27.28916,79.71888
rice,2.0,1.0,1.0,High,27.3494,79.7992
rice,2.0,1.0,1.0,High,27.40964,79.87952
rice,2.0,1.0,1.0,High,27.46988,79.95984
rice,2.0,1.0,1.0,High,27.53012,80.04016
rice,2.0,1.0,1.0,High,27.59036,80.12048
rice,2.0,1.0,1.0,High,27.6506,80.2008
rice,2.0,1.0,1.0,High,27.71084,80.28112
rice,2.0,1.0,1.0,High,27.77108,80.36145
rice,2.0,1.0,1.0,High,27.83133,80.44177
rice,2.0,1.0,1.0,High,27.89157,80.52209
rice,2.0,1.0,1.0,High,27.95181,80.60241
rice,2.0,1.0,1.0,High,28.01205,80.68273
rice,2.0,1.0,1.0,High,28.07229,80.76305
rice,2.0,1.0,1.0,High,28.13253,80.84337
rice,2.0,1.0,1.0,High,28.19277,80.92369
rice,2.0,1.0,1.0,High,28.25301,81.00402
rice,2.0,1.0,1.0,High,28.31325,81.08434
rice,2.0,1.0,1.0,High,28.37349,81.16466
rice,2.0,1.0,1.0,High,28.43373,81.24498
rice,2.0,1.0,1.0,High,28.49398,81.3253
rice,2.0,1.0,1.0,High,28.55422,81.40562
rice,2.0,1.0,1.0,High,28.61446,81.48594
rice,2.0,1.0,1.0,High,28.6747,81.56627
rice,2.0,1.0,1.0,High,28.73494,81.64659
rice,2.0,1.0,1.0,High,28.79518,81.72691
rice,2.0,1.0,1.0,High,28.85542,81.80723
rice,2.0,1.0,1.0,High,28.91566,81.88755
rice,2.0,1.0,1.0,High,28.9759,81.96787
rice,2.0,1.0,1.0,High,29.03614,82.04819
rice,2.0,1.0,1.0,High,29.09639,82.12851
rice,2.0,1.0,1.0,High,29.15663,82.20884
rice,2.0,1.0,1.0,High,29.21687,82.28916
rice,2.0,1.0,1.0,High,29.27711,82.36948
rice,2.0,1.0,1.0,High,29.33735,82.4498
rice,2.0,1.0,1.0,High,29.39759,82.53012
rice,2.0,1.0,1.0,High,29.45783,82.61044
rice,2.0,1.0,1.0,High,29.51807,82.69076
rice,2.0,1.0,1.0,High,29.57831,82.77108
rice,2.0,1.0,1.0,High,29.63855,82.85141
rice,2.0,1.0,1.0,High,29.6988,82.93173
rice,2.0,1.0,1.0,High,29.75904,83.01205
rice,2.0,1.0,1.0,High,29.81928,83.09237
rice,2.0,1.0,1.0,High,29.87952,83.17269
rice,2.0,1.0,1.0,High,29.93976,83.25301
rice,2.0,1.0,1.0,High,30.0,83.33333
rice,2.0,1.0,1.0,High,30.06024,83.41365
rice,2.0,1.0,1.0,High,30.12048,83.49398
rice,2.0,1.0,1.0,High,30.18072,83.5743
rice,2.0,1.0,1.0,High,30.24096,83.65462
rice,2.0,1.0,1.0,High,30.3012,83.73494
rice,2.0,1.0,1.0,High,30.36145,83.81526
rice,2.0,1.0,1.0,High,30.42169,83.89558
rice,2.0,1.0,1.0,High,30.48193,83.9759
rice,2.0,1.0,1.0,High,30.54217,84.05622
rice,2.0,1.0,1.0,High,30.60241,84.13655
rice,2.0,1.0,1.0,High,30.66265,84.21687
rice,2.0,1.0,1.0,High,30.72289,84.29719
rice,2.0,1.0,1.0,High,30.78313,84.37751
rice,2.0,1.0,1.0,High,30.84337,84.45783
rice,2.0,1.0,1.0,High,30.90361,84.53815
rice,2.0,1.0,1.0,High,30.96386,84.61847
rice,2.0,1.0,1.0,High,31.0241,84.6988
rice,2.0,1.0,1.0,High,31.08434,84.77912
rice,2.0,1.0,1.0,High,31.14458,84.85944
rice,2.0,1.0,1.0,High,31.20482,84.93976
rice,2.0,1.0,1.0,High,31.26506,85.02008
rice,2.0,1.0,1.0,High,31.3253,85.1004
rice,2.0,1.0,1.0,High,31.38554,85.18072
rice,2.0,1.0,1.0,High,31.44578,85.26104
rice,2.0,1.0,1.0,High,31.50602,85.34137
rice,2.0,1.0,1.0,High,31.56627,85.42169
rice,2.0,1.0,1.0,High,31.62651,85.50201
rice,2.0,1.0,1.0,High,31.68675,85.58233
rice,2.0,1.0,1.0,High,31.74699,85.66265
rice,2.0,1.0,1.0,High,31.80723,85.74297
rice,2.0,1.0,1.0,High,31.86747,85.82329
rice,2.0,1.0,1.0,High,31.92771,85.90361
rice,2.0,1.0,1.0,High,31.98795,85.98394
rice,2.0,1.0,1.0,High,32.04819,86.06426
rice,2.0,1.0,1.0,High,32.10843,86.14458
rice,2.0,1.0,1.0,High,32.16867,86.2249
rice,2.0,1.0,1.0,High,32.22892,86.30522
rice,2.0,1.0,1.0,High,32.28916,86.38554
rice,2.0,1.0,1.0,High,32.3494,86.46586
rice,2.0,1.0,1.0,High,32.40964,86.54618
rice,2.0,1.0,1.0,High,32.46988,86.62651
rice,2.0,1.0,1.0,High,32.53012,86.70683
rice,2.0,1.0,1.0,High,32.59036,86.78715
rice,2.0,1.0,1.0,High,32.6506,86.86747
rice,2.0,1.0,1.0,High,32.71084,86.94779
rice,2.0,1.0,1.0,High,32.77108,87.02811
rice,2.0,1.0,1.0,High,32.83133,87.10843
rice,2.0,1.0,1.0,High,32.89157,87.18876
rice,2.0,1.0,1.0,High,32.95181,87.26908
rice,2.0,1.0,1.0,High,33.01205,87.3494
rice,2.0,1.0,1.0,High,33.07229,87.42972
rice,2.0,1.0,1.0,High,33.13253,87.51004
rice,2.0,1.0,1.0,High,33.19277,87.59036
rice,2.0,1.0,1.0,High,33.25301,87.67068
rice,2.0,1.0,1.0,High,33.31325,87.751
rice,2.0,1.0,1.0,High,33.37349,87.83133
rice,2.0,1.0,1.0,High,33.43373,87.91165
rice,2.0,1.0,1.0,High,33.49398,87.99197
rice,2.0,1.0,1.0,High,33.55422,88.07229
rice,2.0,1.0,1.0,High,33.61446,88.15261
rice,2.0,1.0,1.0,High,33.6747,88.23293
rice,2.0,1.0,1.0,High,33.73494,88.31325
rice,2.0,1.0,1.0,High,33.79518,88.39357
rice,2.0,1.0,1.0,High,33.85542,88.4739
rice,2.0,1.0,1.0,High,33.91566,88.55422
rice,2.0,1.0,1.0,High,33.9759,88.63454
rice,2.0,1.0,1.0,High,34.03614,88.71486
rice,2.0,1.0,1.0,High,34.09639,88.79518
rice,2.0,1.0,1.0,High,34.15663,88.8755
rice,2.0,1.0,1.0,High,34.21687,88.95582
rice,2.0,1.0,1.0,High,34.27711,89.03614
rice,2.0,1.0,1.0,High,34.33735,89.11647
rice,2.0,1.0,1.0,High,34.39759,89.19679
rice,2.0,1.0,1.0,High,34.45783,89.27711
rice,2.0,1.0,1.0,High,34.51807,89.35743
rice,2.0,1.0,1.0,High,34.57831,89.43775
rice,2.0,1.0,1.0,High,34.63855,89.51807
rice,2.0,1.0,1.0,High,34.6988,89.59839
rice,2.0,1.0,1.0,High,34.75904,89.67871
rice,2.0,1.0,1.0,High,34.81928,89.75904
rice,2.0,1.0,1.0,High,34.87952,89.83936
rice,2.0,1.0,1.0,High,34.93976,89.91968
rice,2.0,1.0,1.0,High,35.0,90.0
wheat,2.0,1.0,2.0,Moderate,15.0,75.0
wheat,2.0,1.0,2.0,Moderate,15.04016,75.06024
wheat,2.0,1.0,2.0,Moderate,15.08032,75.12048
wheat,2.0,1.0,2.0,Moderate,15.12048,75.18072
wheat,2.0,1.0,2.0,Moderate,15.16064,75.24096
wheat,2.0,1.0,2.0,Moderate,15.2008,75.3012
wheat,2.0,1.0,2.0,Moderate,15.24096,75.36145
wheat,2.0,1.0,2.0,Moderate,15.28112,75.42169
wheat,2.0,1.0,2.0,Moderate,15.32129,75.48193
wheat,2.0,1.0,2.0,Moderate,15.36145,75.54217
wheat,2.0,1.0,2.0,Moderate,15.40161,75.60241
wheat,2.0,1.0,2.0,Moderate,15.44177,75.66265
wheat,2.0,1.0,2.0,Moderate,15.48193,75.72289
wheat,2.0,1.0,2.0,Moderate,15.52209,75.78313
wheat,2.0,1.0,2.0,Moderate,15.56225,75.84337
wheat,2.0,1.0,2.0,Moderate,15.60241,75.90361
wheat,2.0,1.0,2.0,Moderate,15.64257,75.96386
wheat,2.0,1.0,2.0,Moderate,15.68273,76.0241
wheat,2.0,1.0,2.0,Moderate,15.72289,76.08434
wheat,2.0,1.0,2.0,Moderate,15.76305,76.14458
wheat,2.0,1.0,2.0,Moderate,15.80321,76.20482
wheat,2.0,1.0,2.0,Moderate,15.84337,76.26506
wheat,2.0,1.0,2.0,Moderate,15.88353,76.3253
wheat,2.0,1.0,2.0,Moderate,15.92369,76.38554
wheat,2.0,1.0,2.0,Moderate,15.96386,76.44578
wheat,2.0,1.0,2.0,Moderate,16.00402,76.50602
wheat,2.0,1.0,2.0,Moderate,16.04418,76.56627
wheat,2.0,1.0,2.0,Moderate,16.08434,76.62651
wheat,2.0,1.0,2.0,Moderate,16.1245,76.68675
wheat,2.0,1.0,2.0,Moderate,16.16466,76.74699
wheat,2.0,1.0,2.0,Moderate,16.20482,76.80723
wheat,2.0,1.0,2.0,Moderate,16.24498,76.86747
wheat,2.0,1.0,2.0,Moderate,16.28514,76.92771
wheat,2.0,1.0,2.0,Moderate,16.3253,76.98795
wheat,2.0,1.0,2.0,Moderate,16.36546,77.04819
wheat,2.0,1.0,2.0,Moderate,16.40562,77.10843
wheat,2.0,1.0,2.0,Moderate,16.44578,77.16867
wheat,2.0,1.0,2.0,Moderate,16.48594,77.22892
wheat,2.0,1.0,2.0,Moderate,16.5261,77.28916
wheat,2.0,1.0,2.0,Moderate,16.56627,77.3494
wheat,2.0,1.0,2.0,Moderate,16.60643,77.40964
wheat,2.0,1.0,2.0,Moderate,16.64659,77.46988
wheat,2.0,1.0,2.0,Moderate,16.68675,77.53012
wheat,2.0,1.0,2.0,Moderate,16.72691,77.59036
wheat,2.0,1.0,2.0,Moderate,16.76707,77.6506
wheat,2.0,1.0,2.0,Moderate,16.80723,77.71084
wheat,2.0,1.0,2.0,Moderate,16.84739,77.77108
wheat,2.0,1.0,2.0,Moderate,16.88755,77.83133
wheat,2.0,1.0,2.0,Moderate,16.92771,77.89157
wheat,2.0,1.0,2.0,Moderate,16.96787,77.95181
wheat,2.0,1.0,2.0,Moderate,17.00803,78.01205
wheat,2.0,1.0,2.0,Moderate,17.04819,78.07229
wheat,2.0,1.0,2.0,Moderate,17.08835,78.13253
wheat,2.0,1.0,2.0,Moderate,17.12851,78.19277
wheat,2.0,1.0,2.0,Moderate,17.16867,78.25301
wheat,2.0,1.0,2.0,Moderate,17.20884,78.31325
wheat,2.0,1.0,2.0,Moderate,17.249,78.37349
wheat,2.0,1.0,2.0,Moderate,17.28916,78.43373
wheat,2.0,1.0,2.0,Moderate,17.32932,78.49398
wheat,2.0,1.0,2.0,Moderate,17.36948,78.55422
wheat,2.0,1.0,2.0,Moderate,17.40964,78.61446
wheat,2.0,1.0,2.0,Moderate,17.4498,78.6747
wheat,2.0,1.0,2.0,Moderate,17.48996,78.73494
wheat,2.0,1.0,2.0,Moderate,17.53012,78.79518
wheat,2.0,1.0,2.0,Moderate,17.57028,78.85542
wheat,2.0,1.0,2.0,Moderate,17.61044,78.91566
wheat,2.0,1.0,2.0,Moderate,17.6506,78.9759
wheat,2.0,1.0,2.0,Moderate,17.69076,79.03614
wheat,2.0,1.0,2.0,Moderate,17.73092,79.09639
wheat,2.0,1.0,2.0,Moderate,17.77108,79.15663
wheat,2.0,1.0,2.0,Moderate,17.81124,79.21687
wheat,2.0,1.0,2.0,Moderate,17.85141,79.27711
wheat,2.0,1.0,2.0,Moderate,17.89157,79.33735
wheat,2.0,1.0,2.0,Moderate,17.93173,79.39759
wheat,2.0,1.0,2.0,Moderate,17.97189,79.45783
wheat,2.0,1.0,2.0,Moderate,18.01205,79.51807
wheat,2.0,1.0,2.0,Moderate,18.05221,79.57831
wheat,2.0,1.0,2.0,Moderate,18.09237,79.63855
wheat,2.0,1.0,2.0,Moderate,18.13253,79.6988
wheat,2.0,1.0,2.0,Moderate,18.17269,79.75904
wheat,2.0,1.0,2.0,Moderate,18.21285,79.81928
wheat,2.0,1.0,2.0,Moderate,18.25301,79.87952
wheat,2.0,1.0,2.0,Moderate,18.29317,79.93976
wheat,2.0,1.0,2.0,Moderate,18.33333,80.0
wheat,2.0,1.0,2.0,Moderate,18.37349,80.06024
wheat,2.0,1.0,2.0,Moderate,18.41365,80.12048
wheat,2.0,1.0,2.0,Moderate,18.45382,80.18072
wheat,2.0,1.0,2.0,Moderate,18.49398,80.24096
wheat,2.0,1.0,2.0,Moderate,18.53414,80.3012
wheat,2.0,1.0,2.0,Moderate,18.5743,80.36145
wheat,2.0,1.0,2.0,Moderate,18.61446,80.42169
wheat,2.0,1.0,2.0,Moderate,18.65462,80.48193
wheat,2.0,1.0,2.0,Moderate,18.69478,80.54217
wheat,2.0,1.0,2.0,Moderate,18.73494,80.60241
wheat,2.0,1.0,2.0,Moderate,18.7751,80.66265
wheat,2.0,1.0,2.0,Moderate,18.81526,80.72289
wheat,2.0,1.0,2.0,Moderate,18.85542,80.78313
wheat,2.0,1.0,2.0,Moderate,18.89558,80.84337
wheat,2.0,1.0,2.0,Moderate,18.93574,80.90361
wheat,2.0,1.0,2.0,Moderate,18.9759,80.96386
wheat,2.0,1.0,2.0,Moderate,19.01606,81.0241
wheat,2.0,1.0,2.0,Moderate,19.05622,81.08434
wheat,2.0,1.0,2.0,Moderate,19.09639,81.14458
wheat,2.0,1.0,2.0,Moderate,19.13655,81.20482
wheat,2.0,1.0,2.0,Moderate,19.17671,81.26506
wheat,2.0,1.0,2.0,Moderate,19.21687,81.3253
wheat,2.0,1.0,2.0,Moderate,19.25703,81.38554
wheat,2.0,1.0,2.0,Moderate,19.29719,81.44578
wheat,2.0,1.0,2.0,Moderate,19.33735,81.50602
wheat,2.0,1.0,2.0,Moderate,19.37751,81.56627
wheat,2.0,1.0,2.0,Moderate,19.41767,81.62651
wheat,2.0,1.0,2.0,Moderate,19.45783,81.68675
wheat,2.0,1.0,2.0,Moderate,19.49799,81.74699
wheat,2.0,1.0,2.0,Moderate,19.53815,81.80723
wheat,2.0,1.0,2.0,Moderate,19.57831,81.86747
wheat,2.0,1.0,2.0,Moderate,19.61847,81.92771
wheat,2.0,1.0,2.0,Moderate,19.65863,81.98795
wheat,2.0,1.0,2.0,Moderate,19.6988,82.04819
wheat,2.0,1.0,2.0,Moderate,19.73896,82.10843
wheat,2.0,1.0,2.0,Moderate,19.77912,82.16867
wheat,2.0,1.0,2.0,Moderate,19.81928,82.22892
wheat,2.0,1.0,2.0,Moderate,19.85944,82.28916
wheat,2.0,1.0,2.0,Moderate,19.8996,82.3494
wheat,2.0,1.0,2.0,Moderate,19.93976,82.40964
wheat,2.0,1.0,2.0,Moderate,19.97992,82.46988
wheat,2.0,1.0,2.0,Moderate,20.02008,82.53012
wheat,2.0,1.0,2.0,Moderate,20.06024,82.59036
wheat,2.0,1.0,2.0,Moderate,20.1004,82.6506
wheat,2.0,1.0,2.0,Moderate,20.14056,82.71084
wheat,2.0,1.0,2.0,Moderate,20.18072,82.77108
wheat,2.0,1.0,2.0,Moderate,20.22088,82.83133
wheat,2.0,1.0,2.0,Moderate,20.26104,82.89157
wheat,2.0,1.0,2.0,Moderate,20.3012,82.95181
wheat,2.0,1.0,2.0,Moderate,20.34137,83.01205
wheat,2.0,1.0,2.0,Moderate,20.38153,83.07229
wheat,2.0,1.0,2.0,Moderate,20.42169,83.13253
wheat,2.0,1.0,2.0,Moderate,20.46185,83.19277
wheat,2.0,1.0,2.0,Moderate,20.50201,83.25301
wheat,2.0,1.0,2.0,Moderate,20.54217,83.31325
wheat,2.0,1.0,2.0,Moderate,20.58233,83.37349
wheat,2.0,1.0,2.0,Moderate,20.62249,83.43373
wheat,2.0,1.0,2.0,Moderate,20.66265,83.49398
wheat,2.0,1.0,2.0,Moderate,20.70281,83.55422
wheat,2.0,1.0,2.0,Moderate,20.74297,83.61446
wheat,2.0,1.0,2.0,Moderate,20.78313,83.6747
wheat,2.0,1.0,2.0,Moderate,20.82329,83.73494
wheat,2.0,1.0,2.0,Moderate,20.86345,83.79518
wheat,2.0,1.0,2.0,Moderate,20.90361,83.85542
wheat,2.0,1.0,2.0,Moderate,20.94378,83.91566
wheat,2.0,1.0,2.0,Moderate,20.98394,83.9759
wheat,2.0,1.0,2.0,Moderate,21.0241,84.03614
wheat,2.0,1.0,2.0,Moderate,21.06426,84.09639
wheat,2.0,1.0,2.0,Moderate,21.10442,84.15663
wheat,2.0,1.0,2.0,Moderate,21.14458,84.21687
wheat,2.0,1.0,2.0,Moderate,21.18474,84.27711
wheat,2.0,1.0,2.0,Moderate,21.2249,84.33735
wheat,2.0,1.0,2.0,Moderate,21.26506,84.39759
wheat,2.0,1.0,2.0,Moderate,21.30522,84.45783
wheat,2.0,1.0,2.0,Moderate,21.34538,84.51807
wheat,2.0,1.0,2.0,Moderate,21.38554,84.57831
wheat,2.0,1.0,2.0,Moderate,21.4257,84.63855
wheat,2.0,1.0,2.0,Moderate,21.46586,84.6988
wheat,2.0,1.0,2.0,Moderate,21.50602,84.75904
wheat,2.0,1.0,2.0,Moderate,21.54618,84.81928
wheat,2.0,1.0,2.0,Moderate,21.58635,84.87952
wheat,2.0,1.0,2.0,Moderate,21.62651,84.93976
wheat,2.0,1.0,2.0,Moderate,21.66667,85.0
wheat,2.0,1.0,2.0,Moderate,21.70683,85.06024
wheat,2.0,1.0,2.0,Moderate,21.74699,85.12048
wheat,2.0,1.0,2.0,Moderate,21.78715,85.18072
wheat,2.0,1.0,2.0,Moderate,21.82731,85.24096
wheat,2.0,1.0,2.0,Moderate,21.86747,85.3012
wheat,2.0,1.0,2.0,Moderate,21.90763,85.36145
wheat,2.0,1.0,2.0,Moderate,21.94779,85.42169
wheat,2.0,1.0,2.0,Moderate,21.98795,85.48193
wheat,2.0,1.0,2.0,Moderate,22.02811,85.54217
wheat,2.0,1.0,2.0,Moderate,22.06827,85.60241
wheat,2.0,1.0,2.0,Moderate,22.10843,85.66265
wheat,2.0,1.0,2.0,Moderate,22.14859,85.72289
wheat,2.0,1.0,2.0,Moderate,22.18876,85.78313
wheat,2.0,1.0,2.0,Moderate,22.22892,85.84337
wheat,2.0,1.0,2.0,Moderate,22.26908,85.90361
wheat,2.0,1.0,2.0,Moderate,22.30924,85.96386
wheat,2.0,1.0,2.0,Moderate,22.3494,86.0241
wheat,2.0,1.0,2.0,Moderate,22.38956,86.08434
wheat,2.0,1.0,2.0,Moderate,22.42972,86.14458
wheat,2.0,1.0,2.0,Moderate,22.46988,86.20482
wheat,2.0,1.0,2.0,Moderate,22.51004,86.26506
wheat,2.0,1.0,2.0,Moderate,22.5502,86.3253
wheat,2.0,1.0,2.0,Moderate,22.59036,86.38554
wheat,2.0,1.0,2.0,Moderate,22.63052,86.44578
wheat,2.0,1.0,2.0,Moderate,22.67068,86.50602
wheat,2.0,1.0,2.0,Moderate,22.71084,86.56627
wheat,2.0,1.0,2.0,Moderate,22.751,86.62651
wheat,2.0,1.0,2.0,Moderate,22.79116,86.68675
wheat,2.0,1.0,2.0,Moderate,22.83133,86.74699
wheat,2.0,1.0,2.0,Moderate,22.87149,86.80723
wheat,2.0,1.0,2.0,Moderate,22.91165,86.86747
wheat,2.0,1.0,2.0,Moderate,22.95181,86.92771
wheat,2.0,1.0,2.0,Moderate,22.99197,86.98795
wheat,2.0,1.0,2.0,Moderate,23.03213,87.04819
wheat,2.0,1.0,2.0,Moderate,23.07229,87.10843
wheat,2.0,1.0,2.0,Moderate,23.11245,87.16867
wheat,2.0,1.0,2.0,Moderate,23.15261,87.22892
wheat,2.0,1.0,2.0,Moderate,23.19277,87.28916
wheat,2.0,1.0,2.0,Moderate,23.23293,87.3494
wheat,2.0,1.0,2.0,Moderate,23.27309,87.40964
wheat,2.0,1.0,2.0,Moderate,23.31325,87.46988
wheat,2.0,1.0,2.0,Moderate,23.35341,87.53012
wheat,2.0,1.0,2.0,Moderate,23.39357,87.59036
wheat,2.0,1.0,2.0,Moderate,23.43373,87.6506
wheat,2.0,1.0,2.0,Moderate,23.4739,87.71084
wheat,2.0,1.0,2.0,Moderate,23.51406,87.77108
wheat,2.0,1.0,2.0,Moderate,23.55422,87.83133
wheat,2.0,1.0,2.0,Moderate,23.59438,87.89157
wheat,2.0,1.0,2.0,Moderate,23.63454,87.95181
wheat,2.0,1.0,2.0,Moderate,23.6747,88.01205
wheat,2.0,1.0,2.0,Moderate,23.71486,88.07229
wheat,2.0,1.0,2.0,Moderate,23.75502,88.13253
wheat,2.0,1.0,2.0,Moderate,23.79518,88.19277
wheat,2.0,1.0,2.0,Moderate,23.83534,88.25301
wheat,2.0,1.0,2.0,Moderate,23.8755,88.31325
wheat,2.0,1.0,2.0,Moderate,23.91566,88.37349
wheat,2.0,1.0,2.0,Moderate,23.95582,88.43373
wheat,2.0,1.0,2.0,Moderate,23.99598,88.49398
wheat,2.0,1.0,2.0,Moderate,24.03614,88.55422
wheat,2.0,1.0,2.0,Moderate,24.07631,88.61446
wheat,2.0,1.0,2.0,Moderate,24.11647,88.6747
wheat,2.0,1.0,2.0,Moderate,24.15663,88.73494
wheat,2.0,1.0,2.0,Moderate,24.19679,88.79518
wheat,2.0,1.0,2.0,Moderate,24.23695,88.85542
wheat,2.0,1.0,2.0,Moderate,24.27711,88.91566
wheat,2.0,1.0,2.0,Moderate,24.31727,88.9759
